gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,65536,7168,768,opus,9000,0,469.5167,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1536.8,2119.97,0.0
gfx950,256,65536,7168,3072,opus,9000,0,1277.82,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2258.7,910.04,0.0
gfx950,256,65536,7168,7168,opus,9000,0,2701.0023,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2493.34,540.79,0.0
gfx950,256,65536,7168,16384,opus,9000,0,5901.7956,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2608.22,361.03,0.0
gfx950,256,2048,16384,1536,opus,9000,0,59.5008,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1732.4,1603.68,0.0
gfx950,256,4096,16384,1536,opus,9000,0,113.2976,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1819.62,1462.3,0.0
gfx950,256,6144,16384,1536,opus,9000,0,167.7298,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1843.67,1406.61,0.0
gfx950,256,8192,16384,1536,opus,9000,0,222.4498,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1853.53,1376.42,0.0
gfx950,256,10240,16384,1536,opus,9000,0,275.5689,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1870.3,1366.04,0.0
gfx950,256,12288,16384,1536,opus,9000,0,327.3089,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1889.58,1364.75,0.0
gfx950,256,14336,16384,1536,opus,9000,0,384.3258,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1877.46,1345.08,0.0
